event_id,participant_id,session_id,condition,disengagement_onset_ts,trigger_source,robot_nonverbal_start_ts,robot_nonverbal_type,robot_nonverbal_end_ts,distraction_end_ts,escalated_to_voice,voice_start_ts,voice_prompt_type,voice_prompt_text_length,highlight_shown,highlight_shown_ts,resumed_within_window,resume_latency_ms,resume_stage
55,haya,session_20260404_haya_2afba5,with_system,2026-04-04T23:16:18.025876-04:00,gaze_off_screen,2026-04-04T23:16:18.025876-04:00,head_turn_plus_wave,,2026-04-04T23:16:25.495056-04:00,1,2026-04-04T23:17:43.511863-04:00,context_aware,79,1,2026-04-04T23:17:43.511863-04:00,1,7470.0,resumed_after_voice
56,haya,session_20260404_haya_2afba5,with_system,2026-04-04T23:17:59.814944-04:00,gaze_off_screen,2026-04-04T23:17:59.814944-04:00,head_turn_plus_wave,,2026-04-04T23:18:46.959813-04:00,1,2026-04-04T23:18:47.780589-04:00,context_aware,79,1,2026-04-04T23:18:47.780589-04:00,0,47140.0,not_resumed
57,haya,session_20260404_haya_6d8862,with_system,2026-04-04T23:28:08.598506-04:00,gaze_off_screen,2026-04-04T23:28:08.598506-04:00,head_turn_plus_wave,,2026-04-04T23:28:14.717084-04:00,1,2026-04-04T23:29:53.829695-04:00,context_aware,71,1,2026-04-04T23:29:53.829695-04:00,1,6120.0,resumed_after_voice
58,haya,session_20260404_haya_7ee2a3,with_system,2026-04-04T23:20:17.228462-04:00,gaze_off_screen,2026-04-04T23:20:17.228462-04:00,head_turn_plus_wave,,2026-04-04T23:20:34.585551-04:00,1,2026-04-04T23:21:51.853732-04:00,context_aware,75,1,2026-04-04T23:21:51.853732-04:00,1,17360.0,resumed_after_voice
508,MayaS,session_20260415_MayaS_3d6da2,with_system,2026-04-15T15:33:16.908591-04:00,gaze_off_screen,2026-04-15T15:33:16.908591-04:00,head_turn_plus_wave,2026-04-15T15:33:29.787761-04:00,2026-04-15T15:33:29.885043-04:00,0,,,,0,,1,12980.0,resumed_after_nonverbal
509,MayaS,session_20260415_MayaS_3d6da2,with_system,2026-04-15T15:33:42.858057-04:00,gaze_off_screen,2026-04-15T15:33:42.858057-04:00,head_turn_plus_wave,2026-04-15T15:33:55.020024-04:00,2026-04-15T15:34:03.642723-04:00,0,,,,0,,1,20780.0,resumed_after_nonverbal
510,MayaS,session_20260415_MayaS_3d6da2,with_system,2026-04-15T15:34:05.795932-04:00,gaze_off_screen,2026-04-15T15:34:05.795932-04:00,head_turn_plus_wave,2026-04-15T15:34:17.377602-04:00,2026-04-15T15:34:17.506314-04:00,0,,,,0,,1,11710.0,resumed_after_nonverbal
511,MayaS,session_20260415_MayaS_3d6da2,with_system,2026-04-15T15:34:25.826107-04:00,gaze_off_screen,2026-04-15T15:34:25.826107-04:00,head_turn_plus_wave,2026-04-15T15:34:40.238931-04:00,2026-04-15T15:35:36.379472-04:00,0,,,,0,,1,70550.0,resumed_after_nonverbal
512,MayaS,session_20260415_MayaS_3d6da2,with_system,2026-04-15T15:35:56.511544-04:00,gaze_off_screen,2026-04-15T15:35:56.511544-04:00,head_turn_plus_wave,2026-04-15T15:36:05.924884-04:00,2026-04-15T15:36:06.152298-04:00,0,,,,0,,1,9640.0,resumed_after_nonverbal
513,MayaS,session_20260415_MayaS_3d6da2,with_system,2026-04-15T15:36:15.077613-04:00,gaze_off_screen,2026-04-15T15:36:15.077613-04:00,head_turn_plus_wave,2026-04-15T15:36:27.479331-04:00,2026-04-15T15:36:30.855224-04:00,0,,,,0,,1,15780.0,resumed_after_nonverbal
514,MayaS,session_20260415_MayaS_3d6da2,with_system,2026-04-15T15:36:32.697019-04:00,gaze_off_screen,2026-04-15T15:36:32.697019-04:00,head_turn_plus_wave,2026-04-15T15:36:35.351042-04:00,2026-04-15T15:36:35.680959-04:00,0,,,,0,,1,2980.0,resumed_after_nonverbal
570,Haya,session_20260420_Haya_44aec9,with_system,2026-04-20T23:27:49.028708-04:00,gaze_off_screen,2026-04-20T23:27:49.028708-04:00,head_turn_plus_wave,2026-04-20T23:27:58.112998-04:00,2026-04-20T23:28:04.814502-04:00,0,,,,0,,1,15790.0,resumed_after_nonverbal
571,Haya,session_20260420_Haya_44aec9,with_system,2026-04-20T23:28:06.668266-04:00,gaze_off_screen,2026-04-20T23:28:06.668266-04:00,head_turn_plus_wave,2026-04-20T23:28:15.418099-04:00,2026-04-20T23:28:16.446579-04:00,0,,,,0,,1,9780.0,resumed_after_nonverbal
572,Haya,session_20260420_Haya_44aec9,with_system,2026-04-20T23:28:19.842272-04:00,gaze_off_screen,2026-04-20T23:28:19.842272-04:00,head_turn_plus_wave,2026-04-20T23:28:20.450046-04:00,2026-04-20T23:28:20.501501-04:00,0,,,,0,,1,660.0,resumed_after_nonverbal
573,Haya,session_20260420_Haya_44aec9,with_system,2026-04-20T23:28:24.002911-04:00,gaze_off_screen,2026-04-20T23:28:24.002911-04:00,head_turn_plus_wave,2026-04-20T23:28:29.677318-04:00,2026-04-20T23:28:29.728560-04:00,0,,,,0,,1,5730.0,resumed_after_nonverbal
574,Haya,session_20260420_Haya_44aec9,with_system,2026-04-20T23:28:29.728721-04:00,gaze_off_screen,2026-04-20T23:28:29.728721-04:00,head_turn_plus_wave,2026-04-20T23:28:35.305749-04:00,2026-04-20T23:28:35.348629-04:00,0,,,,0,,1,5620.0,resumed_after_nonverbal
575,Haya,session_20260420_Haya_44aec9,with_system,2026-04-20T23:28:35.348765-04:00,gaze_off_screen,2026-04-20T23:28:35.348765-04:00,head_turn_plus_wave,2026-04-20T23:28:40.293529-04:00,2026-04-20T23:28:40.348564-04:00,0,,,,0,,1,5000.0,resumed_after_nonverbal
576,Haya,session_20260420_Haya_44aec9,with_system,2026-04-20T23:28:40.348710-04:00,gaze_off_screen,2026-04-20T23:28:40.348710-04:00,head_turn_plus_wave,2026-04-20T23:28:49.114293-04:00,2026-04-20T23:28:50.148439-04:00,0,,,,0,,1,9800.0,resumed_after_nonverbal
577,Haya,session_20260420_Haya_44aec9,with_system,2026-04-20T23:29:08.806007-04:00,gaze_off_screen,2026-04-20T23:29:08.806007-04:00,head_turn_plus_wave,2026-04-20T23:29:09.222156-04:00,2026-04-20T23:29:09.268255-04:00,0,,,,0,,1,460.0,resumed_after_nonverbal
578,Haya,session_20260420_Haya_44aec9,with_system,2026-04-20T23:30:11.841958-04:00,gaze_off_screen,2026-04-20T23:30:11.841958-04:00,head_turn_plus_wave,2026-04-20T23:30:12.217769-04:00,2026-04-20T23:30:12.264302-04:00,0,,,,0,,1,420.0,resumed_after_nonverbal
579,Haya,session_20260420_Haya_44aec9,with_system,2026-04-20T23:31:09.680608-04:00,gaze_off_screen,2026-04-20T23:31:09.680608-04:00,head_turn_plus_wave,2026-04-20T23:31:13.932706-04:00,2026-04-20T23:31:13.991206-04:00,0,,,,0,,1,4310.0,resumed_after_nonverbal
590,mavis,session_20260421_mavis_fa35d4,with_system,2026-04-21T13:52:03.034409-04:00,gaze_off_screen,2026-04-21T13:52:03.034409-04:00,head_turn_plus_wave,2026-04-21T13:52:11.590429-04:00,2026-04-21T13:52:11.787050-04:00,0,,,,0,,1,8750.0,resumed_after_nonverbal
