event_id,participant_id,session_id,condition,disengagement_onset_ts,trigger_source,robot_nonverbal_start_ts,robot_nonverbal_type,robot_nonverbal_end_ts,distraction_end_ts,escalated_to_voice,voice_start_ts,voice_prompt_type,voice_prompt_text_length,highlight_shown,highlight_shown_ts,resumed_within_window,resume_latency_ms,resume_stage
1,wenfei,session_20260322_wenfei_3f7aed,with_system,2026-03-22T18:07:52.576141-04:00,gaze_off_screen,2026-03-22T18:07:52.576141-04:00,head_turn_plus_wave,,,1,2026-03-22T18:08:57.140485-04:00,generic,50,1,2026-03-22T18:08:57.140485-04:00,0,,not_resumed
2,wenfei,session_20260322_wenfei_760026,with_system,2026-03-22T17:45:26.367972-04:00,gaze_off_screen,2026-03-22T17:45:26.367972-04:00,head_turn_plus_wave,,,0,,,,0,,0,,not_resumed
3,wenfei,session_20260322_wenfei_b3196e,with_system,2026-03-22T19:49:25.382510-04:00,gaze_off_screen,2026-03-22T19:49:25.382510-04:00,head_turn_plus_wave,,2026-03-22T19:49:31.126326-04:00,0,,,,0,,1,5740.0,resumed_after_nonverbal
4,wenfei,session_20260322_wenfei_b3196e,with_system,2026-03-22T19:52:00.276760-04:00,gaze_off_screen,2026-03-22T19:52:00.276760-04:00,head_turn_plus_wave,,2026-03-22T19:52:07.627145-04:00,0,,,,0,,1,7350.0,resumed_after_nonverbal
5,wenfei,session_20260322_wenfei_b3fef7,with_system,2026-03-22T19:29:02.389057-04:00,gaze_off_screen,2026-03-22T19:29:02.389057-04:00,head_turn_plus_wave,,2026-03-22T19:29:15.368751-04:00,0,,,,0,,1,12980.0,resumed_after_nonverbal
6,wenfei,session_20260322_wenfei_b3fef7,with_system,2026-03-22T19:29:53.292280-04:00,gaze_off_screen,2026-03-22T19:29:53.292280-04:00,head_turn_plus_wave,,2026-03-22T19:30:00.412109-04:00,0,,,,0,,1,7120.0,resumed_after_nonverbal
7,wenfei,session_20260322_wenfei_b3fef7,with_system,2026-03-22T19:30:28.784215-04:00,gaze_off_screen,2026-03-22T19:30:28.784215-04:00,head_turn_plus_wave,,2026-03-22T19:30:36.151673-04:00,0,,,,0,,1,7370.0,resumed_after_nonverbal
8,wenfei,session_20260322_wenfei_b3fef7,with_system,2026-03-22T19:31:33.957237-04:00,gaze_off_screen,2026-03-22T19:31:33.957237-04:00,head_turn_plus_wave,,2026-03-22T19:32:26.538801-04:00,0,,,,0,,1,52580.0,resumed_after_nonverbal
9,wenfei,session_20260322_wenfei_b3fef7,with_system,2026-03-22T19:32:55.358044-04:00,gaze_off_screen,2026-03-22T19:32:55.358044-04:00,head_turn_plus_wave,,2026-03-22T19:33:57.567845-04:00,1,2026-03-22T19:33:58.357618-04:00,generic,50,1,2026-03-22T19:33:58.357618-04:00,0,62210.0,not_resumed
10,wenfei,session_20260322_wenfei_b3fef7,with_system,2026-03-22T19:34:59.858382-04:00,gaze_off_screen,2026-03-22T19:34:59.858382-04:00,head_turn_plus_wave,,2026-03-22T19:35:06.587101-04:00,0,,,,0,,1,6730.0,resumed_after_nonverbal
11,wenfei,session_20260322_wenfei_c6ceac,with_system,2026-03-22T19:46:34.270402-04:00,gaze_off_screen,2026-03-22T19:46:34.270402-04:00,head_turn_plus_wave,,2026-03-22T19:46:42.784172-04:00,0,,,,0,,1,8510.0,resumed_after_nonverbal
12,wenfei,session_20260322_wenfei_c6ceac,with_system,2026-03-22T19:47:16.690716-04:00,gaze_off_screen,2026-03-22T19:47:16.690716-04:00,head_turn_plus_wave,,2026-03-22T19:47:24.059375-04:00,0,,,,0,,1,7370.0,resumed_after_nonverbal
13,wenfei,session_20260331_wenfei_436cef,with_system,2026-03-31T20:32:12.679536-04:00,gaze_off_screen,2026-03-31T20:32:12.679536-04:00,head_turn_plus_wave,,2026-03-31T20:32:35.179859-04:00,0,,,,0,,1,22500.0,resumed_after_nonverbal
14,wenfei,session_20260331_wenfei_436cef,with_system,2026-03-31T20:37:17.182287-04:00,gaze_off_screen,2026-03-31T20:37:17.182287-04:00,head_turn_plus_wave,,2026-03-31T20:38:17.921195-04:00,1,2026-03-31T20:38:18.506389-04:00,generic,50,1,2026-03-31T20:38:18.506389-04:00,0,60740.0,not_resumed
15,wenfei,session_20260331_wenfei_66131d,with_system,2026-03-31T18:55:16.564977-04:00,gaze_off_screen,2026-03-31T18:55:16.564977-04:00,head_turn_plus_wave,,2026-03-31T18:55:18.826200-04:00,0,,,,0,,1,2260.0,resumed_after_nonverbal
16,wenfei,session_20260331_wenfei_66131d,with_system,2026-03-31T18:57:46.463262-04:00,gaze_off_screen,2026-03-31T18:57:46.463262-04:00,head_turn_plus_wave,,2026-03-31T18:57:56.775407-04:00,0,,,,0,,1,10310.0,resumed_after_nonverbal
17,wenfei,session_20260331_wenfei_d1f561,with_system,2026-03-31T19:21:03.971945-04:00,gaze_off_screen,2026-03-31T19:21:03.971945-04:00,head_turn_plus_wave,,2026-03-31T19:21:21.581111-04:00,0,,,,0,,1,17610.0,resumed_after_nonverbal
